,Month,Sex,State,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths,Total Deaths
377,01-2022,All Sexes,Wyoming,320.0,297.0,0.0,3685.0
378,01-2022,Female,Alabama,2825.0,1692.0,0.0,20965.0
379,01-2022,Female,Alaska,95.0,52.0,0.0,1364.0
380,01-2022,Female,Arizona,3539.0,2968.0,0.0,24571.0
381,01-2022,Female,Arkansas,1739.0,1421.0,0.0,12861.0
382,01-2022,Female,California,11969.0,11578.0,0.0,100338.0
383,01-2022,Female,Colorado,1728.0,1318.0,14.0,15068.0
384,01-2022,Female,Connecticut,1304.0,1014.0,0.0,11277.0
385,01-2022,Female,Delaware,448.0,392.0,0.0,3692.0
386,01-2022,Female,District of Columbia,205.0,205.0,0.0,2023.0
387,01-2022,Female,Florida,8542.0,8266.0,11.0,78532.0
